,loan_id,account_id,loan_date,amount,duration,payments,status,birth_number,client_district,account_district,frequency,account_date,card_type,name,region,no. of inhabitants,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,unemploymant rate '95 ,unemploymant rate '96 ,no. of enterpreneurs per 1000 inhabitants ,no. of commited crimes '95 ,no. of commited crimes '96 ,trans_date_min,trans_date_max,trans_amount_min,trans_amount_max,trans_amount_mean,trans_amount_std,trans_amount_last,trans_balance_min,trans_balance_max,trans_balance_mean,trans_balance_std,trans_balance_last,trans_type_n_credit,trans_type_n_withdrawal,operation_n_credit_cash,operation_n_collection_from_another_bank,operation_n_withdrawal_in_cash,operation_n_remittance_to_another_bank,operation_n_credit_card_withdrawal,operation_n_interest_credited
168,5568,2933,940517,272520,60,4542,1.0,390902,10,10,monthly issuance,930618,none,Praha - vychod,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,930618,940514,13.3,56700.0,10778.345238095239,13082.58529579625,1300.0,1100.0,121891.4,44602.641666666634,24196.754530887032,30009.9,34,50,23,0,40,10,0,11
170,5576,2962,941221,31248,12,2604,1.0,395315,1,1,monthly issuance,930530,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930530,941220,14.6,64100.0,13845.45833333334,15374.684798111297,6268.0,1000.0,144715.3,64493.09916666662,28994.626431825105,53922.3,51,69,33,0,69,0,0,18
174,5586,2994,960914,48744,36,1354,1.0,645414,77,77,monthly issuance,960503,none,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,960503,960912,53.7,28603.5,11392.235714285713,9894.075697538721,19069.0,900.0,62891.3,42930.20714285715,19512.790972253762,62891.3,11,3,7,0,3,0,0,4
176,5591,3021,961204,155616,48,3242,1.0,596025,10,10,monthly issuance,960420,none,Praha - vychod,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,960420,961203,14.6,29176.0,9151.153333333332,9167.297739838636,7500.0,300.0,62153.6,39426.06999999999,13711.094458293303,24447.1,16,14,2,7,14,0,0,7
177,5593,3037,960418,277884,36,7719,-1.0,805917,44,44,monthly issuance,940526,none,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,940526,960415,14.6,53200.0,10720.307692307697,12841.877311427279,8000.0,1000.0,129394.2,46487.00256410256,28041.875079726327,11614.0,46,71,26,0,71,0,0,20
178,5595,3050,940902,82896,12,6908,1.0,720206,49,60,monthly issuance,930508,classic,Semily,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,930508,940831,14.6,62168.0,10765.97777777778,15166.451673985654,299.9,900.0,107680.9,57141.73095238091,24685.92139144404,64300.6,34,92,4,15,57,33,2,15
179,5599,3064,950321,15420,12,1285,1.0,655604,1,40,monthly issuance,930523,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930523,950319,14.6,13881.0,3142.1841059602634,3552.6526836171815,800.0,1000.0,41137.4,24577.200000000033,7049.350987979909,31867.2,53,98,32,0,64,34,0,21
180,5606,3084,960828,253512,36,7042,-1.0,455807,59,59,weekly issuance,960128,none,Kromeriz,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,960128,960825,13.4,40419.0,11379.258620689658,12285.678035841955,8900.0,300.0,111044.2,37095.84482758619,24704.38501837544,13318.4,14,15,8,0,15,0,0,6
181,5610,3112,960224,123216,48,2567,1.0,775812,38,38,monthly issuance,940812,none,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,940812,960222,14.6,59200.0,12136.382031250001,15572.93617726505,3400.0,700.0,138433.7,70622.83359375004,28089.524636349874,77580.8,48,80,30,0,58,22,0,18
182,5611,3115,961115,321180,60,5353,1.0,360907,14,14,monthly issuance,960327,none,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,960327,961108,14.6,48180.0,13585.028947368419,13787.854601216048,14723.0,700.0,90257.3,40524.463157894745,21716.75025029622,37183.5,17,21,2,8,17,4,0,7
186,5624,3166,950103,177744,48,3703,-1.0,720313,59,71,monthly issuance,930810,none,Kromeriz,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,930810,950102,3.3,45056.0,6726.888421052629,8644.836154260729,11400.0,-2485.5,89733.5,26746.5252631579,21147.08070284783,14230.7,36,59,21,0,59,0,0,15
187,5625,3189,961215,222180,60,3703,-1.0,390320,29,29,monthly issuance,951129,none,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,951129,961210,14.6,52600.0,11725.494915254236,13888.269077341096,6900.0,800.0,130659.1,55230.44406779658,26510.559286203963,59578.8,28,31,16,0,31,0,0,12
189,5635,3230,961004,77184,36,2144,1.0,546209,1,1,monthly issuance,950311,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,950311,961001,14.6,63600.0,14561.257142857143,18669.594739050335,600.0,200.0,142917.9,50722.27012987011,30287.214667670312,22446.0,36,41,20,0,41,0,0,16
195,5657,3354,940705,4980,12,415,1.0,525726,63,63,monthly issuance,931105,none,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,931105,940703,14.6,16000.0,3932.5043478260877,4852.867163598879,800.0,800.0,41106.2,30533.37173913044,8705.183539928967,22500.3,19,27,11,0,17,10,0,8
202,5693,3489,950801,44088,24,1837,1.0,515625,9,9,monthly issuance,941208,none,Nymburk,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,941208,950731,14.6,24304.5,6617.940625,7524.390572551132,14.6,1000.0,55576.8,36548.818750000006,11906.808161813045,44368.6,17,15,10,0,12,3,0,7
205,5706,3608,960524,161496,36,4486,1.0,710724,72,72,weekly issuance,940830,none,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,940830,960521,8.0,64900.0,6844.426923076923,10752.10378901425,1600.0,500.0,113865.5,33219.90000000003,19260.546243938243,29371.5,52,78,32,0,59,19,0,20
206,5713,3629,950530,158760,60,2646,1.0,780131,48,48,monthly issuance,930727,none,Rychnov nad Kneznou,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,930727,950527,14.6,23810.0,4654.089156626504,5919.120014592912,2900.0,900.0,59898.4,24908.761445783133,8944.715311238842,19182.3,55,111,12,22,60,51,0,21
209,5723,3674,940910,23628,12,1969,1.0,540309,38,38,monthly issuance,930312,none,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,930312,940903,1.7,43694.0,9915.672727272728,11189.309451935625,35200.0,1000.0,140228.7,47420.84181818185,27950.21068970953,64096.3,49,61,31,0,49,12,0,18
210,5724,3678,950205,316140,60,5269,-1.0,680222,1,1,monthly issuance,930324,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930324,950131,14.6,13352.0,3872.0683453237402,3593.339063331372,66.8,800.0,39616.2,18632.933812949643,6901.260790646524,12826.4,60,79,38,0,79,0,0,22
211,5725,3679,960723,444864,48,9268,1.0,640329,64,64,monthly issuance,950815,none,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,950815,960719,14.6,25862.0,6433.1765625,6889.951176152079,10500.0,800.0,62903.5,32404.773437499996,11798.830196336487,41743.9,27,37,17,0,25,12,0,10
213,5739,3747,950102,76380,12,6365,1.0,575628,1,1,monthly issuance,940501,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,940501,941231,14.6,12861.0,3571.5911111111113,3690.9059417476738,14.6,1100.0,41703.3,26122.848888888897,8289.780093711837,23156.6,20,25,12,0,13,12,0,8
214,5740,3752,950402,18564,12,1547,1.0,635204,1,1,monthly issuance,941125,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,941125,950331,24.0,25603.5,8589.66923076923,8988.622298623282,167.3,200.0,56498.4,35538.04615384616,14265.870341694039,43265.7,9,4,5,0,4,0,0,4
215,5741,3754,961103,68544,24,2856,1.0,760916,37,37,weekly issuance,960219,none,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,960219,961031,30.0,44342.0,8948.183333333334,12206.13825587008,30.0,900.0,94207.7,44948.62592592594,20196.07407074487,23729.8,17,37,1,8,22,15,0,8
216,5750,3804,960208,63252,12,5271,1.0,495624,7,7,monthly issuance,940407,none,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,940407,960207,14.6,47436.0,9457.760365853661,12193.79141140528,31624.0,13097.7,86343.2,49291.82256097561,18482.29894648273,49709.2,48,116,3,23,80,36,0,22
217,5754,3834,940928,23052,12,1921,1.0,406101,54,54,monthly issuance,930119,none,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,930119,940915,14.6,24000.0,3618.326315789472,5017.8076799895625,5520.0,700.0,54321.8,23771.96608187134,8912.019358254425,28531.7,48,123,29,0,62,61,0,19
229,5804,4079,950405,158976,48,3312,1.0,390109,52,52,monthly issuance,931103,none,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,931103,950331,14.6,48358.0,8573.476923076925,11047.20308051068,74.4,600.0,130293.2,49916.091025641086,23319.33818504641,18894.0,52,104,36,0,62,42,0,16
230,5805,4081,951128,137904,24,5746,-1.0,680506,11,11,monthly issuance,950722,none,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,950722,951119,29.4,11878.0,6363.316666666666,5156.205670986675,8100.0,600.0,43259.7,26886.19166666667,11982.10175488715,35159.7,9,3,6,0,3,0,0,3
236,5836,4259,940827,79632,24,3318,1.0,595810,66,66,monthly issuance,940408,none,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,940408,940813,112.5,66165.0,24948.65625,23490.91145170741,44110.0,900.0,119373.5,63494.200000000004,29061.53705517541,99262.5,10,6,1,5,5,1,0,4
237,5837,4260,940629,244560,60,4076,1.0,675719,58,56,monthly issuance,931014,none,Jihlava,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,931014,940620,14.6,36680.0,10168.945238095237,11057.87073951428,4107.0,1000.0,72512.5,38426.728571428575,15757.722747155978,21326.1,18,24,3,8,20,4,0,7
241,5861,4337,941208,51408,24,2142,1.0,490724,29,29,monthly issuance,931116,none,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,931116,941130,14.6,57700.0,13410.820312499998,15418.78550587716,14.6,900.0,137087.2,52299.285937499975,27533.493654127193,49198.8,31,33,19,0,33,0,0,12
245,5876,4413,950208,221280,48,4610,1.0,680328,74,74,weekly issuance,940115,none,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,940115,950131,30.0,50178.0,11891.501408450704,13440.954839173897,30.0,1100.0,106144.8,37596.93239436623,18388.528003099997,31314.7,25,46,1,12,39,7,0,12
246,5877,4414,950223,97224,24,4051,1.0,515407,17,24,monthly issuance,930910,none,Pelhrimov,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,930910,950217,14.6,16257.0,3938.214285714286,4066.9598666019356,3600.0,1000.0,43393.0,22360.53660714285,7476.937792262856,19479.6,42,70,26,0,44,26,0,16
248,5880,4423,951031,73836,36,2051,1.0,675529,39,39,monthly issuance,950426,none,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,950426,951026,19.1,44281.0,16708.05789473684,15919.661477707221,22321.0,900.0,129607.8,55315.16842105263,32965.14577809675,67453.1,14,5,9,0,5,0,0,5
249,5882,4427,940926,87816,12,7318,1.0,610502,1,32,monthly issuance,930607,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930607,940925,14.6,14886.0,4538.900000000001,4042.9469663266814,5000.0,800.0,43442.2,25533.2142857143,6896.753585410004,15665.6,41,43,27,0,32,11,0,14
250,5886,4447,961031,192744,36,5354,1.0,640314,62,62,monthly issuance,960616,none,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,960616,961015,14.6,49871.0,15435.05769230769,14721.121315611066,8400.0,200.0,128778.8,62590.42307692309,28733.343188251627,27799.1,13,13,9,0,13,0,0,4
251,5887,4448,941003,192744,36,5354,1.0,715920,60,60,monthly issuance,930602,none,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,930602,940930,8.8,47700.0,7643.909210526313,10829.951003153892,14.6,700.0,121508.1,37265.65526315789,16917.161794126067,29019.1,33,43,19,0,43,0,0,14
253,5892,4462,960514,66480,24,2770,-1.0,350721,73,73,weekly issuance,951227,none,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,951227,960430,20.0,49631.0,13609.12,16439.26737755265,206.5,900.0,77551.0,34798.28,21490.62646296442,34891.2,7,3,4,0,3,0,0,3
256,5897,4476,960925,15192,24,633,1.0,726227,24,24,monthly issuance,941110,none,Karlovy Vary,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,941110,960919,14.6,21513.0,4099.694674556212,5307.353794312866,4080.0,500.0,48157.1,29941.905325443797,7237.180988793552,17351.9,47,122,26,0,68,54,0,21
257,5900,4503,960101,135360,48,2820,1.0,750924,50,50,monthly issuance,950103,junior,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,950103,951231,14.6,48633.0,14958.594805194805,15929.176110272554,300.8,200.0,146479.5,64881.31428571429,30587.603643206054,54883.5,32,45,21,0,45,0,0,11
260,5918,4576,940604,300204,36,8339,1.0,640313,57,27,monthly issuance,930605,none,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,930605,940531,14.6,28365.0,6578.118309859154,7454.630997618859,135.7,300.0,57676.7,34084.4605633803,11447.547499735838,33947.4,27,44,15,0,44,0,0,12
261,5922,4580,950805,20220,12,1685,1.0,735515,9,9,monthly issuance,940827,none,Nymburk,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,940827,950731,14.6,49397.0,9715.854901960784,12645.751956310289,109.9,500.0,122906.7,41077.63529411765,25420.727566030233,31317.9,23,28,14,0,23,5,0,9
262,5923,4585,961010,64656,48,1347,1.0,470319,27,27,monthly issuance,960608,none,Plzen - jih,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,960608,961007,62.9,13609.0,6379.075,5800.345657901463,13609.0,200.0,44749.0,25896.466666666664,11814.971181770212,44749.0,9,3,6,0,3,0,0,3
267,5938,4650,960825,402000,60,6700,1.0,800806,4,4,monthly issuance,951015,none,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,951015,960814,14.6,9500.0,3029.8888888888896,2791.9229559480477,2828.0,200.0,35650.8,21568.935185185193,7900.831741722059,17232.1,29,25,20,0,14,11,0,9
272,5959,4727,950811,107640,24,4485,1.0,596122,2,2,monthly issuance,950213,none,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,950213,950805,14.6,53613.0,17488.552173913045,17646.241139194735,35742.0,600.0,107783.7,50214.50434782608,22727.670225229824,65325.4,12,11,1,6,9,2,0,5
274,5970,4774,950709,465072,48,9689,1.0,480508,66,66,monthly issuance,940114,none,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,940114,950708,14.6,42880.0,8579.53495145631,9881.895983472918,10200.0,300.0,79557.6,27778.745631067963,13613.100566191757,37152.4,38,65,21,0,65,0,0,17
278,5980,4825,950818,21396,12,1783,1.0,680909,15,15,monthly issuance,940604,none,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,940604,950816,14.6,16048.0,4644.4371794871795,4837.268653191093,14075.0,1000.0,46848.9,30812.946153846162,7990.971151238132,24782.0,34,44,5,15,44,0,0,14
279,5988,4851,960822,141648,24,5902,1.0,520717,52,52,monthly issuance,960204,none,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,960204,960818,55.6,42127.0,14106.122222222222,15669.406002239095,34600.0,200.0,123310.1,45100.42222222222,32279.92216277436,88710.1,13,5,8,0,5,0,0,5
280,5989,4852,960304,213300,36,5925,1.0,640422,47,47,monthly issuance,950413,none,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,950413,960229,14.6,13600.0,3730.2016949152553,3417.379752468736,106.1,400.0,42443.7,27951.913559322016,7864.495893274421,27341.3,27,32,17,0,27,5,0,10
283,5997,4894,931104,117024,24,4876,1.0,351003,14,14,monthly issuance,930620,none,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,930620,931031,45.1,29255.0,14122.576923076924,13516.669823416432,208.3,800.0,76985.2,44131.16923076923,19844.247591152816,53193.5,9,4,1,4,4,0,0,4
284,5999,4907,960103,98832,48,2059,1.0,705910,42,42,monthly issuance,940206,none,Havlickuv Brod,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,940206,951231,14.6,23282.0,4382.094350282484,5958.474141436923,139.5,500.0,63095.4,31814.268361581904,12078.55101973188,27184.4,50,127,27,0,72,55,0,23
285,6004,4937,940723,143904,24,5996,1.0,510410,50,12,monthly issuance,930220,none,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,930220,940715,6.7,60500.0,9194.261151079138,12698.676389421948,8800.0,700.0,134571.2,49727.45611510793,23416.563215441554,38336.2,47,92,30,0,60,32,0,17
286,6006,4948,961115,359760,60,5996,1.0,790531,43,43,monthly issuance,950729,none,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,950729,961110,14.6,51700.0,8082.339583333332,11713.6772558378,4710.0,900.0,127807.6,32434.693750000006,24143.874396857613,39959.4,25,23,17,0,19,4,0,8
289,6011,4981,961128,179328,48,3736,1.0,731121,54,54,monthly issuance,960122,none,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,960122,961117,14.6,34960.0,8935.784615384613,9792.938412185422,15700.0,200.0,81614.7,44093.971153846156,14278.225737036766,36074.7,21,31,12,0,25,6,0,9
290,6012,4994,960803,258444,36,7179,1.0,660527,1,1,weekly issuance,960111,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,960111,960731,141.4,31830.0,8680.756249999999,8830.22633624369,206.4,600.0,61790.4,40688.1375,17230.159617750694,53892.1,12,4,7,0,4,0,0,5
291,6013,4995,960203,128988,36,3583,-1.0,390815,20,20,weekly issuance,940801,none,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,940801,960131,0.1,42530.0,7562.665853658536,9629.132122478793,30.0,-36.1,78192.9,34740.702439024375,17311.11971554469,9680.2,35,47,17,0,47,0,0,18
293,6015,5001,961109,110112,24,4588,1.0,631012,53,53,monthly issuance,951215,none,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,951215,961102,14.6,52500.0,17234.715853658538,14889.76940313004,33425.0,700.0,135658.1,76232.70000000003,28391.569085736075,135658.1,37,45,27,0,39,6,0,10
294,6019,5033,960725,11400,12,950,1.0,805430,54,54,monthly issuance,950803,none,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,950803,960718,14.6,10734.0,2434.2441558441565,2745.39246865944,2200.0,300.0,39514.1,27533.66363636363,6234.415407995346,27820.2,29,48,18,0,25,23,0,11
295,6027,5066,960210,61656,24,2569,-1.0,536225,13,13,weekly issuance,950827,none,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,950827,960202,36.9,47337.0,16007.958333333334,17032.100695315854,15200.0,400.0,89256.9,44763.458333333336,24849.149080234965,59695.5,9,3,6,0,3,0,0,3
298,6038,5120,940810,323472,48,6739,1.0,406015,1,1,monthly issuance,930621,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930621,940731,14.6,44802.0,12422.015789473682,13186.519158917421,230.0,200.0,119934.1,45414.07368421048,26516.428001628443,72386.4,28,29,19,0,24,5,0,9
299,6043,5126,960111,20352,48,424,1.0,485305,58,58,monthly issuance,950403,none,Jihlava,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,950403,960108,14.6,12549.0,3609.741666666668,3792.8049920888616,3000.0,400.0,44427.9,31814.41458333332,9092.645216549368,21281.5,22,26,13,0,21,5,0,9
305,6063,5213,960425,320976,48,6687,-1.0,360809,1,1,monthly issuance,950818,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,950818,960417,14.6,70071.0,15093.958,18939.85516898367,9100.0,1000.0,130775.0,49482.96800000001,27435.703120029266,46462.2,23,27,1,8,27,0,0,14
306,6064,5215,940804,14628,12,1219,1.0,495308,55,55,monthly issuance,930701,none,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,930701,940731,2.0,23230.5,4093.035294117646,5817.932215137103,160.7,200.0,52184.7,32788.14215686272,9015.76816505543,34917.4,29,73,16,0,40,33,0,13
307,6066,5228,940711,173808,24,7242,1.0,575127,77,77,issuance after transaction,930623,none,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,930623,940705,43.3,74522.0,17396.585333333336,19855.040116961067,49681.0,1000.0,134416.6,61218.658666666684,24967.390839870233,94431.9,26,49,1,13,49,0,0,12
308,6072,5256,940510,193968,36,5388,1.0,721203,72,72,issuance after transaction,931025,none,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,931025,940504,52.4,54200.0,16951.03448275862,16518.52298207932,19181.0,800.0,120567.3,63579.21724137932,30034.313435862332,80780.0,20,9,12,0,9,0,0,8
309,6073,5263,961112,276300,60,4605,1.0,760706,64,64,monthly issuance,950714,none,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,950714,961111,14.6,8888.0,3104.776086956522,2425.3134220191578,3950.0,500.0,40755.0,25997.563043478272,6720.217505796418,27578.1,45,47,30,0,36,11,0,15
312,6077,5270,931122,79608,24,3317,1.0,700428,44,44,monthly issuance,930113,none,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,930113,931116,14.6,67124.0,17600.358490566032,19189.332711565738,3100.0,800.0,125825.7,69954.57169811318,24870.23292768019,103745.7,22,31,1,11,31,0,0,10
315,6087,5313,940227,300660,60,5011,1.0,500107,40,40,monthly issuance,930429,none,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,930429,940223,14.6,48900.0,10342.530303030304,13800.624291118358,9800.0,800.0,135175.2,45854.89090909087,30520.960807281426,33918.9,24,42,15,0,27,15,0,9
319,6103,5385,940407,149340,60,2489,1.0,630201,44,44,weekly issuance,930521,none,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,930521,940331,30.0,22404.0,5778.791071428573,6217.798280984173,92.4,500.0,53214.0,29069.11607142853,10432.344642413836,23568.3,23,33,3,10,27,6,0,10
321,6109,5422,960603,368880,60,6148,1.0,740804,66,66,monthly issuance,941022,none,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,941022,960531,9.7,64500.0,11574.08296703297,14792.476227341002,299.4,1100.0,151062.3,60030.74340659332,28681.80838333561,105727.0,58,124,38,0,76,48,0,20
322,6111,5428,930924,174744,24,7281,-1.0,485812,24,24,monthly issuance,930414,none,Karlovy Vary,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,930414,930921,14.6,52600.0,11557.949999999999,14867.80103720572,40175.0,1000.0,105628.0,37485.456249999996,28302.653142986743,58140.9,16,16,11,0,16,0,0,5
323,6112,5442,940617,174744,24,7281,-1.0,786121,5,34,monthly issuance,930322,none,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,930322,940615,0.2,46739.0,7375.6279661016915,10210.527128894719,8300.0,-1369.2,96659.4,26252.81440677967,23430.521918399387,6930.8,38,80,23,0,38,42,0,15
326,6120,5481,940911,209184,48,4358,1.0,530618,1,52,monthly issuance,930816,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930816,940910,14.6,61800.0,14438.211764705879,16124.327126523545,14500.0,1000.0,110583.8,46230.339705882405,19403.334950613862,44254.7,26,42,1,13,42,0,0,12
327,6130,5541,960718,32640,48,680,1.0,421015,43,43,monthly issuance,950324,none,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,950324,960717,14.6,20700.0,2772.7598130841125,3429.334909275201,4100.0,300.0,43206.0,25906.4093457944,7545.466318441954,18800.0,39,68,24,0,46,22,0,15
329,6137,5574,960410,44628,12,3719,1.0,431126,13,13,weekly issuance,940714,none,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,940714,960408,30.0,71565.0,14238.080821917805,17918.625817716988,47710.0,900.0,112689.5,49477.32123287669,22661.883780456672,80439.7,43,103,2,21,87,16,0,20
331,6144,5593,960809,44376,12,3698,1.0,620523,15,15,monthly issuance,960227,none,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,960227,960808,14.6,54100.0,15332.38717948718,15195.70285752867,14463.0,800.0,124090.0,53505.215384615374,28278.24506461626,68241.5,18,21,13,0,17,4,0,5
333,6150,5622,941102,83016,12,6918,1.0,790326,57,70,monthly issuance,930208,none,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,930208,941031,14.6,64400.0,13414.556632653064,14813.172056590742,302.5,700.0,136436.6,67891.93520408162,25921.044106424713,93620.2,67,129,46,0,93,36,0,21
334,6151,5628,950425,225420,60,3757,1.0,485803,61,61,monthly issuance,940617,none,Trebic,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,940617,950413,14.6,20727.0,5452.343137254903,5689.871515008223,6800.0,200.0,53271.6,31185.156862745098,9614.3623318295,32403.4,22,29,13,0,29,0,0,9
